"filename", "language", "Ruby", "Ruby ERB", "JavaScript", "SCSS", "JSON", "Markdown", "YAML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\wrap_parameters.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 15
"c:\Users\kenz\3D Objects\geekcycle\config\locales\devise.en.yml", "YAML", 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 2, 66
"c:\Users\kenz\3D Objects\geekcycle\config\locales\en.yml", "YAML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 30, 2, 34
"c:\Users\kenz\3D Objects\geekcycle\config\puma.rb", "Ruby", 8, 0, 0, 0, 0, 0, 0, 0, 0, 28, 8, 44
"c:\Users\kenz\3D Objects\geekcycle\config\routes.rb", "Ruby", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"c:\Users\kenz\3D Objects\geekcycle\config\storage.yml", "YAML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 23, 6, 35
"c:\Users\kenz\3D Objects\geekcycle\config\webpack\development.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\kenz\3D Objects\geekcycle\config\webpack\environment.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\kenz\3D Objects\geekcycle\config\webpack\production.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\kenz\3D Objects\geekcycle\config\webpack\test.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\kenz\3D Objects\geekcycle\config\webpacker.yml", "YAML", 0, 0, 0, 0, 0, 0, 66, 0, 0, 11, 16, 93
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210904070932_devise_create_users.rb", "Ruby", 14, 0, 0, 0, 0, 0, 0, 0, 0, 21, 10, 45
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210905034736_create_tours.rb", "Ruby", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210911072930_add_image_to_tours.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210911103131_add_user_id_to_tours.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210911104830_create_likes.rb", "Ruby", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
